timestamp, kwh, co2
25-04-2008 00:00, 12.93, 2.52135
26-04-2008 00:00, 12.42, 2.4219
27-04-2008 00:00, 10.505, 2.048475
28-04-2008 00:00, 19.802, 3.86139
29-04-2008 00:00, 8.323, 1.622985
30-04-2008 00:00, 23.787, 4.638465
01-05-2008 00:00, 14.137, 2.756715
02-05-2008 00:00, 25.453, 4.963335
03-05-2008 00:00, 18.618, 3.63051
04-05-2008 00:00, 3.128, 0.60996
05-05-2008 00:00, 21.236, 4.14102
06-05-2008 00:00, 15.301, 2.983695
07-05-2008 00:00, 26.741, 5.214495
08-05-2008 00:00, 25.338, 4.94091
09-05-2008 00:00, 7.336, 1.43052
10-05-2008 00:00, 16.726, 3.26157
11-05-2008 00:00, 18.229, 3.554655
12-05-2008 00:00, 24.424, 4.76268
13-05-2008 00:00, 30.745, 5.995275
14-05-2008 00:00, 19.672, 3.83604
15-05-2008 00:00, 26.047, 5.079165
16-05-2008 00:00, 23.222, 4.52829
17-05-2008 00:00, 25.439, 4.960605
18-05-2008 00:00, 26.395, 5.147025
19-05-2008 00:00, 14.64, 2.8548
20-05-2008 00:00, 12.62, 2.4609
21-05-2008 00:00, 13.351, 2.603445
22-05-2008 00:00, 22.15, 4.31925
23-05-2008 00:00, 21.634, 4.21863
24-05-2008 00:00, 13.853, 2.701335
25-05-2008 00:00, 16.333, 3.184935
26-05-2008 00:00, 7.317, 1.426815
27-05-2008 00:00, 18.084, 3.52638
28-05-2008 00:00, 22.985, 4.482075
29-05-2008 00:00, 20.728, 4.04196
30-05-2008 00:00, 18.654, 3.63753
31-05-2008 00:00, 16.361, 3.190395
01-06-2008 00:00, 19.368, 3.77676
02-06-2008 00:00, 20.171, 3.933345
03-06-2008 00:00, 22.068, 4.30326
04-06-2008 00:00, 17.551, 3.422445
05-06-2008 00:00, 10.076, 1.96482
06-06-2008 00:00, 11.884, 2.31738
07-06-2008 00:00, 10.862, 2.11809
08-06-2008 00:00, 15.807, 3.082365
09-06-2008 00:00, 14.036, 2.73702
10-06-2008 00:00, 17.1, 3.3345
11-06-2008 00:00, 4.167, 0.812565
12-06-2008 00:00, 7.094, 1.38333
13-06-2008 00:00, 8.183, 1.595685
14-06-2008 00:00, 7.629, 1.487655
15-06-2008 00:00, 5.254, 1.02453
16-06-2008 00:00, 1.237, 0.241215
17-06-2008 00:00, 6.932, 1.35174
18-06-2008 00:00, 14.103, 2.750085
19-06-2008 00:00, 10.654, 2.07753
20-06-2008 00:00, 9.805, 1.911975
21-06-2008 00:00, 9.691, 1.889745
22-06-2008 00:00, 6.008, 1.17156
23-06-2008 00:00, 6.978, 1.36071
24-06-2008 00:00, 9.525, 1.857375
25-06-2008 00:00, 16.774, 3.27093
26-06-2008 00:00, 12.583, 2.453685
27-06-2008 00:00, 13.756, 2.68242
28-06-2008 00:00, 9.815, 1.913925
29-06-2008 00:00, 12.12, 2.3634
30-06-2008 00:00, 23.04, 4.4928
01-07-2008 00:00, 15.379, 2.998905
02-07-2008 00:00, 11.152, 2.17464
03-07-2008 00:00, 16.709, 3.258255
04-07-2008 00:00, 15.179, 2.959905
05-07-2008 00:00, 8.053, 1.570335
06-07-2008 00:00, 15.895, 3.099525
07-07-2008 00:00, 16.733, 3.262935
08-07-2008 00:00, 27.375, 5.338125
09-07-2008 00:00, 33.387, 6.510465
10-07-2008 00:00, 22.969, 4.478955
11-07-2008 00:00, 5.308, 1.03506
12-07-2008 00:00, 5.204, 1.01478
13-07-2008 00:00, 32.963, 6.427785
14-07-2008 00:00, 23.626, 4.60707
15-07-2008 00:00, 6.919, 1.349205
16-07-2008 00:00, 6.389, 1.245855
17-07-2008 00:00, 10.954, 2.13603
18-07-2008 00:00, 12.116, 2.36262
19-07-2008 00:00, 17.999, 3.509805
20-07-2008 00:00, 26.044, 5.07858
21-07-2008 00:00, 29.467, 5.746065
22-07-2008 00:00, 8.428, 1.64346
23-07-2008 00:00, 19.988, 3.89766
24-07-2008 00:00, 26.376, 5.14332
25-07-2008 00:00, 39.217, 7.647315
26-07-2008 00:00, 2.701, 0.526695
27-07-2008 00:00, 11.081, 2.160795
28-07-2008 00:00, 29.622, 5.77629
29-07-2008 00:00, 2.856, 0.55692
30-07-2008 00:00, 14.828, 2.89146
31-07-2008 00:00, 28.76, 5.6082
01-08-2008 00:00, 38.27, 7.46265
02-08-2008 00:00, 11.981, 2.336295
03-08-2008 00:00, 17.842, 3.47919
04-08-2008 00:00, 46.868, 9.13926
05-08-2008 00:00, 59.894, 11.67933
06-08-2008 00:00, 70.61, 13.76895
07-08-2008 00:00, 50.477, 9.843015
08-08-2008 00:00, 69.642, 13.58019
09-08-2008 00:00, 33.751, 6.581445
10-08-2008 00:00, 101.176, 19.72932
11-08-2008 00:00, 104.117, 20.302815
12-08-2008 00:00, 39.861, 7.772895
12-10-2008 00:00, 160.561, 31.309395
13-10-2008 00:00, 158.308, 30.87006
14-10-2008 00:00, 152.049, 29.649555
15-10-2008 00:00, 160.081, 31.215795
16-10-2008 00:00, 108.418, 21.14151
17-10-2008 00:00, 100.847, 19.665165
18-10-2008 00:00, 144.465, 28.170675
19-10-2008 00:00, 154.146, 30.05847
20-10-2008 00:00, 150.709, 29.388255
21-10-2008 00:00, 111.99, 21.83805
22-10-2008 00:00, 162.565, 31.700175
23-10-2008 00:00, 74.83, 14.59185
24-10-2008 00:00, 99.75, 19.45125
25-10-2008 00:00, 117.163, 22.846785
26-10-2008 00:00, 131.228, 25.58946
27-10-2008 00:00, 167.145, 32.593275
28-10-2008 00:00, 52.038, 10.14741
29-10-2008 00:00, 71.52, 13.9464
30-10-2008 00:00, 138.113, 26.932035
31-10-2008 00:00, 122.879, 23.961405
01-11-2008 00:00, 70.896, 13.82472
02-11-2008 00:00, 134.71, 26.26845
03-11-2008 00:00, 144.486, 28.17477
04-11-2008 00:00, 95.758, 18.67281
05-11-2008 00:00, 138.553, 27.017835
06-11-2008 00:00, 128.117, 24.982815
07-11-2008 00:00, 150.207, 29.290365
08-11-2008 00:00, 174.752, 34.07664
09-11-2008 00:00, 159.991, 31.198245
10-11-2008 00:00, 73.099, 14.254305
11-11-2008 00:00, 166.52, 32.4714
12-11-2008 00:00, 153.039, 29.842605
13-11-2008 00:00, 72.388, 14.11566
14-11-2008 00:00, 155.796, 30.38022
15-11-2008 00:00, 162.29, 31.64655
16-11-2008 00:00, 49.426, 9.63807
